"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z16RIYAZ","true","YAF の取引","0.0","月","001RB00001VTqnxYAD","","","","","","0.0","2026-02-24","","Closed Lost","","","","",""
"a08RB00001Z16RJYAZ","true","清水建設株式会社(スマートシティ) の取引","660000.0","月","001RB00001VTrvxYAD","","","","","","55000.0","2025-11-05","","Prospecting","","","","",""
"a08RB00001Z16RKYAZ","true","東京建物株式会社 の取引","0.0","月","001RB00001VTqf9YAD","","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16RLYAZ","true","大成建設株式会社 の取引","1320000.0","月","001RB00001VTqblYAD","003RB00001NsWwiYAF","","","2025-11-17","Needs mismatch","110000.0","","","Closed Lost","2025-11-17","","","",""
"a08RB00001Z16RMYAZ","true","生和コーポレーション株式会社(関東) の取引","0.0","月","001RB00001VTqmcYAD","003RB00001NsVxXYAV","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16RNYAZ","true","株式会社ユタカコーポレーション の取引","3500.0","月","001RB00001VTqnzYAD","003RB00001NsUICYA3","","","","","0.0","","","Closed Won","2025-09-24","","","",""
"a08RB00001Z16ROYAZ","true","ソーシャルインテリア の取引","900000.0","月","001RB00001VTqo0YAD","","","","2026-05-26","No agreement on issue or setup","75000.0","2025-12-17","","Closed Lost","2026-05-26","","","",""
"a08RB00001Z16RPYAZ","true","東京海上日動ファシリティーズ株式会社 の取引","900000.0","月","001RB00001VTqnUYAT","","","","","","75000.0","2025-12-10","","Closed Lost","","","","",""
"a08RB00001Z16RQYAZ","true","株式会社ほりきり太郎不動産 の取引","3500.0","月","001RB00001VTqoCYAT","003RB00001NsUIXYA3","","","","","0.0","","","Closed Won","2025-09-24","","","",""
"a08RB00001Z16RRYAZ","true","株式会社エイブル","290000.0","月","001RB00001VTrKGYA1","","","","","","0.0","","","Closed Won","2025-10-03","","","",""
"a08RB00001Z16RSYAZ","true","生和コーポレーション株式会社(西日本支社)","1800000.0","月","001RB00001VTqmcYAD","","","","","","150000.0","","","Closed Lost","","","","",""
"a08RB00001Z16RTYAZ","true","日鉄興和不動産株式会社","2340000.0","月","001RB00001VTrnKYAT","","","2026-02-13","","","195000.0","2026-01-06","","Closed Won","2026-02-12","","","",""
"a08RB00001Z16RUYAZ","true","相鉄アーバンクリエイツ　西口事業部 の取引","105600.0","月","001RB00001VTqs2YAD","003RB00001NsWwjYAF","","","","","8800.0","","","Closed Lost","","","","",""
"a08RB00001Z16RVYAZ","true","日本社宅サービス株式会社","0.0","月","001RB00001VTqvSYAT","003RB00001NsUcsYAF","","","","","0.0","","","Qualification","","","","",""
"a08RB00001Z16RWYAZ","true","株式会社JPMC","0.0","月","001RB00001VTqoXYAT","","","","","","0.0","","","Prospecting","","","","",""
"a08RB00001Z16RXYAZ","true","森ビル株式会社 の取引","105600.0","月","001RB00001VTqWFYA1","003RB00001NsVhqYAF","","2026-03-01","","","8800.0","","","Closed Won","2026-03-12","","","",""
"a08RB00001Z16RYYAZ","true","三弘建築事務所株式会社","672000.0","月","001RB00001VTqxpYAD","","","2026-03-01","2026-05-21","Customer concern unresolved","56000.0","","","Closed Lost","2026-05-21","","","",""
"a08RB00001Z16RZYAZ","true","株式会社大阪ガスファシリティーズ の取引","0.0","月","001RB00001VTqxqYAD","003RB00001NsVhrYAF","","","2026-01-21","","0.0","","","Closed Lost","2026-01-21","","","",""
"a08RB00001Z16RaYAJ","true","TR-Archi Office の取引","0.0","月","001RB00001VTqnPYAT","","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16RbYAJ","true","東急建設株式会社","0.0","月","001RB00001VTrseYAD","","","","","","0.0","2025-10-24","","ValueProposition","","","","",""
"a08RB00001Z16RcYAJ","true","福井コンピュータースマート株式会社","0.0","月","001RB00001VTqxrYAD","","","","","","0.0","2026-01-16","","Closed Won","","","","",""
"a08RB00001Z16RdYAJ","true","三越伊勢丹プロパティデザイン株式会社","528000.0","月","001RB00001VTqxsYAD","","","","","","44000.0","","","Closed Won","2025-12-17","","","",""
"a08RB00001Z16ReYAJ","true","株式会社住研川越 の取引","145200.0","月","001RB00001VTqxtYAD","003RB00001NsVhuYAF","","","","","12100.0","","","Closed Won","2025-11-04","","","",""
"a08RB00001Z16RfYAJ","true","荏原環境プラント株式会社 の取引","2390000.0","月","001RB00001VTqxuYAD","003RB00001NsVhvYAF","","2026-05-01","","","170000.0","","","Negotiation","","","","",""
"a08RB00001Z16RgYAJ","true","株式会社ホープハウスシステム の取引","0.0","月","001RB00001VTqliYAD","003RB00001NsNceYAF","","","","","0.0","","","Prospecting","","","","",""
"a08RB00001Z1G65YAF","true","株式会社ビヨンドボーダーズ の取引","0.0","月","001RB00001VTqxvYAD","003RB00001NsVhwYAF","","","2026-02-25","Needs mismatch","0.0","","","Closed Lost","2026-02-25","","","",""
"a08RB00001Z1G66YAF","true","株式会社brackets の取引","105600.0","月","001RB00001VTqxwYAD","003RB00001NsWwlYAF","","","","","8800.0","","","Prospecting","","","","",""
"a08RB00001Z1G67YAF","true","株式会社エムアールビジネス の取引","0.0","月","001RB00001VTqxxYAD","003RB00001NsVi3YAF","","","","","0.0","","","Negotiation","","","","",""
"a08RB00001Z1G68YAF","true","株式会社ホープハウスシステム","0.0","月","001RB00001VTqliYAD","003RB00001NsNceYAF","","","","","0.0","","","Negotiation","","","","",""
"a08RB00001Z1G69YAF","true","株式会社店研創意","900000.0","月","001RB00001VTqxyYAD","","","2026-04-01","","","75000.0","2025-12-17","","ValueProposition","","","","",""
"a08RB00001Z1G6AYAV","true","株式会社FUNC DESIGN の取引","105600.0","月","001RB00001VTqxzYAD","003RB00001NsWwmYAF","","","","","8800.0","","","Prospecting","","","","",""
"a08RB00001Z1G6BYAV","true","株式会社サイバーエージェント の取引","316800.0","月","001RB00001VTqy0YAD","003RB00001NsVi5YAF","","","","","26400.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6CYAV","true","豊通ファシリティーズ株式会社 の取引","105600.0","月","001RB00001VTqy1YAD","003RB00001NsWwnYAF","","","","","8800.0","","","Closed Won","2026-01-05","","","",""
