"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"株式会社エディオン","0","月","001BS00001bgW5LYAU","","","","2026-02-13","Timing mismatch","0","","","Closed Lost","2026-02-13","","","",""
"株式会社 トーケン","1056000","月","001BS00001bgVvzYAE","003BS00000f4FU6YAM","","2026-03-01","","","88000","","","Closed Won","2026-02-27","","","",""
"株式会社紀伊國屋書店","480000","月","001BS00001bgW5MYAU","003BS00000f4Ik4YAE","","2026-03-17","","","40000","2026-01-27","","Closed Won","2026-03-17","","","",""
"ヤマハ株式会社","0","月","001BS00001bgW2NYAU","003BS00000f4QfXYAU","","","","","0","","","Closed Lost","","","","",""
"コンチネンタルホーム株式会社","316800","月","001BS00001bgVU5YAM","","","2026-03-16","","","26400","","","Closed Won","2026-03-16","","","",""
"京王建設株式会社 の取引","0","月","001BS00001bgW5NYAU","003BS00000f4FU9YAM","","","","","0","","","Prospecting","","","","",""
"テスト","0","月","","","","","","","0","","","Closed Won","2025-12-25","","","",""
"株式会社アールシーコア","3350000","月","","","","","","","250000","","","Closed Won","2026-01-16","","","",""
"株式会社REデザイン の取引","361200","月","","","","2026-09-01","","","17600","","","ValueProposition","","","","",""
"株式会社長谷工コーポレーション","900000","月","","","","","","","75000","","","Closed Lost","","","","",""
"ナックハウスパートナー 株式会社","356400","月","","","","","","","29700","","","Prospecting","","","","",""
"ジェイアール東海コンサルタンツ株式会社 の取引","0","月","","","","2026-03-30","","","0","","","Qualification","","","","",""
"Metricon株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"阪急阪神不動産","1360000","月","","","","2026-06-01","","","105000","","","Negotiation","","","","",""
"エスコンリビングサービス取引","3500","月","","","","","","","0","","","ValueProposition","","","","",""
"YKK AP 株式会社","1800000","月","","","","2026-05-01","","","150000","2026-04-15","","Closed Lost","","","","",""
"くらし研究室の取引","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社大伸社ディライト の取引","211200","月","","","","2026-04-01","","","17600","","","Negotiation","","","","",""
"株式会社 えん道エステート","0","月","","","","","2026-03-16","Needs mismatch","0","","","Closed Lost","2026-03-16","","","",""
"京王建設株式会社","0","月","","","","","","","0","","","Prospecting","","","","",""
"個人 の取引","0","月","","","","","","","0","","","Closed Won","2025-07-07","","","",""
"公益財団法人・NPO等RIM系団体 の取引","5500","月","","","","","","","0","","","Closed Won","2025-05-23","","","",""
"DEF BAUM の取引","5500","月","","","","","","","0","","","Closed Won","2025-08-12","","","",""
"横松建設株式会社 等 の取引","8800","月","","","","","","","0","","","Closed Won","2025-04-22","","","",""
"個人 の取引","0","月","","","","","","","0","","","Closed Won","2025-09-05","","","",""
"IB設計 の取引","8800","月","","","","","","","0","","","Closed Won","2025-03-02","","","",""
"株式会社ひかり工務店 の取引","0","月","","","","","","","0","","","Closed Won","2025-06-24","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-04-04","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-02-19","","","",""
"秋好建築設計事務所 の取引","8800","月","","","","","","","0","","","Closed Won","2025-02-27","","","",""
"IB設計 の取引","8800","月","","","","","","","0","","","Closed Won","2025-03-02","","","",""
"個人 の取引","0","月","","","","","","","0","","","Closed Won","2025-09-05","","","",""
"有限会社ジャモアソシエイツ の取引","8800","月","","","","","","","0","","","Closed Won","2025-03-31","","","",""
"の取引","0","月","","","","","","","0","","","Closed Won","2025-12-19","","","",""
"プロバイダ型ドメイン の取引","8800","月","","","","","","","0","","","Closed Won","2025-09-01","","","",""
"横松建設株式会社 等 の取引","8800","月","","","","","","","0","","","Closed Won","2025-04-22","","","",""
"株式会社JTBアセットマネジメント の取引","0","月","","","","","","","0","","","Closed Won","2025-11-11","","","",""
"ゴールドクレスト株式会社 の取引","8800","月","","","","","","","0","","","Closed Won","2025-05-14","","","",""
"株式会社WIZU の取引","17600","月","","","","","","","0","","","Closed Won","2025-09-17","","","",""
"株式会社テンランド の取引","8800","月","","","","","","","0","","","Closed Won","2025-06-23","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-07-14","","","",""
"株式会社ぷららネットワークス の取引","8800","月","","","","","","","0","","","Closed Won","2025-06-29","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-07-09","","","",""
"mizuiro architects 一級建築士事務所 の取引","0","月","","","","","","","0","","","Closed Won","2025-07-20","","","",""
"株式会社ライフステージ の取引","17600","月","","","","","","","0","","","Closed Won","2025-07-11","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-07-14","","","",""
"個人 の取引","8800","月","","","","","","","0","","","Closed Won","2025-07-15","","","",""
"野村不動産ホールディングス株式会社 の取引","8800","月","","","","","","","0","","","Closed Won","2025-07-18","","","",""
"Apple Inc. の取引","8800","月","","","","","","","0","","","Closed Won","2025-11-21","","","",""
"昭和建設株式会社 等 の取引","17600","月","","","","","","","0","","","Closed Won","2025-09-24","","","",""
"個人 の取引","0","月","","","","","","","0","","","Closed Won","2025-09-01","","","",""
"株式会社一条工務店 の取引","0","月","","","","","","","0","","","Closed Won","2025-08-29","","","",""
