"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000PISaf2AH","MFILW-000526","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISag2AH","MFILW-000527","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISah2AH","MFILW-000528","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISai2AH","MFILW-000529","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaj2AH","MFILW-000530","a0FRB00000YqK3u2AF","Rendery Proプラン_月額費用","4","8000","32000","a0CRB0000CcXZ6Q2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISak2AH","MFILW-000531","a0FRB00000YqK3v2AF","Rendery Proプラン（月額）","1","8000","8000","a0CRB0000CcXZ6Q2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISan2AH","MFILW-000534","a0FRB00000YqK3y2AF","Rendery_Pro_月額利用料_注文番号：405342481","2","6400","12800","a0CRB0000CcXZ6R2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISao2AH","MFILW-000535","a0FRB00000YqK3z2AF","Rendery(Pro用)・月額料金","6","8000","48000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PISap2AH","MFILW-000536","a0FRB00000YqK402AF","Rendery_Pro_月額利用料","2","8000","16000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PISaq2AH","MFILW-000537","a0FRB00000YqK412AF","Rendery Enterpriseプラン_年払い","120","14000","1680000","a0CRB0000CcXZ6X2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISar2AH","MFILW-000538","a0FRB00000YqK412AF","セキュリティオプション(シングルサインオン)月額費用","12","30000","360000","a0CRB0000CcXZ6b2QG",,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PISas2AH","MFILW-000539","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISat2AH","MFILW-000540","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISau2AH","MFILW-000541","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISav2AH","MFILW-000542","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaw2AH","MFILW-000543","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISax2AH","MFILW-000544","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISay2AH","MFILW-000545","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaz2AH","MFILW-000546","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISb02AH","MFILW-000547","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISb12AH","MFILW-000548","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISb22AH","MFILW-000549","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISb32AH","MFILW-000550","a0FRB00000YqK422AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwn2AH","MFILW-000551","a0FRB00000YqSO22AN","Rendery enterpriseプラン","5","15000","75000","a0CRB0000CcXZ6V2QW","a0CRB0000CcXZ6V2QW","確定済み","取得済み",,"Exact ProductMaster.Name match."
"a0ERB00000PIXwo2AH","MFILW-000552","a0FRB00000YqSO32AN","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwp2AH","MFILW-000553","a0FRB00000YqSO42AN","KnockKnockAI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwq2AH","MFILW-000554","a0FRB00000YqSO52AN","knock knock AI Basicプラン","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwr2AH","MFILW-000555","a0FRB00000YqSO62AN","knock knock AI_Basicプラン","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwt2AH","MFILW-000557","a0FRB00000YqSO82AN","knock knock AI_Basicプラン","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXwu2AH","MFILW-000558","a0FRB00000YqSO92AN","knock knock AI_Enterpriseプラン_1200クレジット","1100","145","159500",,,"要確認","取得済み",,"No ProductMaster candidate found."
