"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000Usb9g2AB","MFIW-000090","58486360","INV-0000001198","株式会社ＬＩＸＩＬ住宅研究所","2026-05-15","3168000","要確認","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","a00RB000024Ux4DYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WjSKK2A3","MFIW-000220","58573596","INV-0000001222","株式会社TAKUTO","2026-05-20","12100","要確認","001RB00001VTtIfYAL","a04RB00000kUAQ0YAO","a0BRB00000ynn5s2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKM2A3","MFIW-000222","58573601","INV-0000001224","松栄不動産株式会社(アパマンショップ仙台東口店)","2026-05-20","12100","要確認","001RB00001br9KTYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKN2A3","MFIW-000223","58573604","INV-0000001225","ONETEAM不動産","2026-05-20","12100","要確認","001RB00001VTtIdYAL","a04RB00000kUAPxYAO","a0BRB00000ynn5p2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKO2A3","MFIW-000224","58573606","INV-0000001226","株式会社ハートランド","2026-05-20","12100","要確認","001RB00001VTtIcYAL",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKP2A3","MFIW-000225","58573608","INV-0000001227","西和不動産株式会社 栗東店","2026-05-20","12100","要確認","001RB00001br9KVYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKQ2A3","MFIW-000226","58573609","INV-0000001228","株式会社香川不動産買取センター","2026-05-20","12100","要確認","001RB00001VTqaKYAT","a04RB00000kUAPnYAO","a0BRB00000ynn5f2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKR2A3","MFIW-000227","58573611","INV-0000001229","株式会社博進コスモプラザ","2026-05-20","12100","要確認","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKT2A3","MFIW-000229","58573614","INV-0000001231","株式会社ヨコハマ地所","2026-05-20","12100","要確認","001RB00001br9KKYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKU2A3","MFIW-000230","58573616","INV-0000001232","リアルティホールディングス株式会社","2026-05-20","175450","要確認","001RB00001VTtIUYA1","a04RB00000kUAPdYAO","a0BRB00000ynn5V2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKV2A3","MFIW-000231","58573618","INV-0000001233","株式会社穂積住宅","2026-05-20","36300","要確認","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKW2A3","MFIW-000232","58573620","INV-0000001234","株式会社イーグランド","2026-05-20","12100","要確認","001RB00001VTqZVYA1","a04RB00000kUAPXYA4","a0BRB00000ynn5P2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKX2A3","MFIW-000233","58573621","INV-0000001235","アグレ都市デザイン株式会社","2026-05-20","12100","要確認","001RB00001VTCYzYAP",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
